state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,lat,lng,population
Arkansas,5077,Lee County,1286,1423,2848,-137,0.451544944,0.499648876,-0.048103933,34.7806,-90.7821,9194
Arkansas,5079,Lincoln County,2729,1032,3875,1697,0.704258065,0.266322581,0.437935484,33.9575,-91.7333,13455
Arkansas,5081,Little River County,3715,1226,5177,2489,0.717597064,0.236816689,0.480780375,33.7005,-94.2343,12347
Arkansas,5083,Logan County,6441,1544,8225,4897,0.783100304,0.187720365,0.595379939,35.2153,-93.7162,21668
Arkansas,5085,Lonoke County,22884,6686,30662,16198,0.746330963,0.218054921,0.528276042,34.7542,-91.8888,72528
Arkansas,5087,Madison County,5658,1563,7351,4095,0.769691198,0.212624133,0.557067066,36.011,-93.7245,16211
Arkansas,5089,Marion County,5783,1531,7503,4252,0.770758363,0.204051713,0.566706651,36.2684,-92.6842,16476
Arkansas,5091,Miller County,11920,4245,16529,7675,0.721156755,0.256821344,0.46433541,33.3121,-93.8916,43572
Arkansas,5093,Mississippi County,7296,4558,12342,2738,0.591152163,0.369308054,0.22184411,35.7638,-90.0542,42126
Arkansas,5095,Monroe County,1545,1147,2816,398,0.548650568,0.407315341,0.141335227,34.6778,-91.2039,7050
Arkansas,5097,Montgomery County,3046,731,3873,2315,0.786470436,0.188742577,0.59772786,34.5388,-93.6596,8950
Arkansas,5099,Nevada County,2133,1076,3358,1057,0.635199524,0.320428827,0.314770697,33.664,-93.3072,8351
Arkansas,5101,Newton County,3192,709,3998,2483,0.7983992,0.177338669,0.62106053,35.92,-93.2179,7812
Arkansas,5103,Ouachita County,5294,3995,9629,1299,0.549797487,0.414892512,0.134904975,33.5934,-92.8819,23830
Arkansas,5105,Perry County,3479,1012,4627,2467,0.751891074,0.218716231,0.533174843,34.9474,-92.9315,10355
Arkansas,5107,Phillips County,2417,3623,6242,-1206,0.387215636,0.580422941,-0.193207305,34.4283,-90.848,18606
Arkansas,5109,Pike County,3519,644,4246,2875,0.828780028,0.151672162,0.677107866,34.1635,-93.6563,10756
Arkansas,5111,Poinsett County,5918,1424,7521,4494,0.786863449,0.189336524,0.597526925,35.574,-90.663,23896
Arkansas,5113,Polk County,7035,1246,8490,5789,0.828621908,0.146760895,0.681861013,34.4859,-94.2281,20094
Arkansas,5115,Pope County,18081,5772,24432,12309,0.740054028,0.236247544,0.503806483,35.4476,-93.0342,63761
Arkansas,5117,Prairie County,2786,654,3495,2132,0.79713877,0.187124464,0.610014306,34.8298,-91.5528,8189
Arkansas,5119,Pulaski County,63687,101947,169956,-38260,0.3747264,0.599843489,-0.225117089,34.77,-92.3119,392967
Arkansas,5121,Randolph County,5355,1215,6812,4140,0.786112742,0.178361715,0.607751028,36.3415,-91.0277,17695
Arkansas,5123,St. Francis County,3242,3604,7108,-362,0.456105796,0.507034328,-0.050928531,35.022,-90.7478,25900
Arkansas,5125,Saline County,39556,16060,56959,23496,0.694464439,0.281957197,0.412507242,34.6466,-92.6765,119415
Arkansas,5127,Scott County,2962,483,3551,2479,0.834131231,0.136018023,0.698113208,34.8608,-94.0633,10376
Arkansas,5129,Searcy County,3365,588,4019,2777,0.837272953,0.146305051,0.690967902,35.9109,-92.6996,7908
Arkansas,5131,Sebastian County,31198,14487,47140,16711,0.661815868,0.307318625,0.354497242,35.1993,-94.2742,127591
Arkansas,5133,Sevier County,3884,1116,5202,2768,0.746635909,0.214532872,0.532103037,33.9972,-94.2412,17081
Arkansas,5135,Sharp County,5938,1398,7566,4540,0.784826857,0.184773989,0.600052868,36.1612,-91.4799,17139
Arkansas,5137,Stone County,4616,1180,5938,3436,0.777366117,0.198720108,0.578646009,35.8599,-92.1567,12475
Arkansas,5139,Union County,10478,5584,16607,4894,0.630938761,0.336243753,0.294695008,33.1713,-92.5972,39449
Arkansas,5141,Van Buren County,6034,1593,7807,4441,0.772896119,0.20404765,0.568848469,35.5806,-92.5157,16642
Arkansas,5143,Washington County,47504,43824,94266,3680,0.503935671,0.464897206,0.039038466,35.9791,-94.2156,232289
Arkansas,5145,White County,24182,5978,30885,18204,0.782969079,0.193556743,0.589412336,35.2563,-91.7455,78762
Arkansas,5147,Woodruff County,1543,856,2476,687,0.623182553,0.345718901,0.277463651,35.1863,-91.2431,6533
Arkansas,5149,Yell County,5226,1284,6741,3942,0.775255897,0.19047619,0.584779706,35.0026,-93.4112,21464
California,6001,Alameda County,136309,617659,769864,-481350,0.177055948,0.80229625,-0.625240302,37.6469,-121.8889,1656754
California,6003,Alpine County,244,476,741,-232,0.32928475,0.642375169,-0.313090418,38.5972,-119.8207,1039
California,6005,Amador County,13585,8153,22302,5432,0.609138194,0.365572594,0.243565599,38.4464,-120.6511,38429
California,6007,Butte County,48730,50426,102042,-1696,0.47754846,0.494169068,-0.016620607,39.6669,-121.6007,225817
California,6009,Calaveras County,16518,10046,27164,6472,0.608084229,0.369827713,0.238256516,38.2046,-120.5541,45514
California,6011,Colusa County,4554,3234,7951,1320,0.572758144,0.40674129,0.166016853,39.1775,-122.237,21454
California,6013,Contra Costa County,152877,416386,581230,-263509,0.263023244,0.716387661,-0.453364417,37.9191,-121.9278,1142251
California,6015,Del Norte County,6461,4677,11452,1784,0.564180929,0.408400279,0.15578065,41.7431,-123.8972,27495
California,6017,El Dorado County,61838,51621,116138,10217,0.532452772,0.444479843,0.087972929,38.7787,-120.5247,188563
California,6019,Fresno County,164464,193025,364809,-28561,0.450822211,0.529112494,-0.078290283,36.7582,-119.6493,984521
California,6021,Glenn County,7063,3995,11292,3068,0.62548707,0.353790294,0.271696776,39.5982,-122.392,27976
California,6023,Humboldt County,21770,44768,68828,-22998,0.316295694,0.650432963,-0.33413727,40.6993,-123.8756,135940
California,6025,Imperial County,20847,34678,56718,-13831,0.367555273,0.61141084,-0.243855566,33.0395,-115.3654,180701
California,6027,Inyo County,4620,4634,9481,-14,0.48729037,0.488767008,-0.001476637,36.5111,-117.4107,17977
California,6029,Kern County,164484,133366,305226,31118,0.538892493,0.436941807,0.101950686,35.3429,-118.7299,887641
California,6031,Kings County,24072,18699,43858,5373,0.548862237,0.426353231,0.122509006,36.0753,-119.8155,150691
California,6033,Lake County,13123,14941,28800,-1818,0.455659722,0.518784722,-0.063125,39.0996,-122.7532,64195
California,6035,Lassen County,8970,2799,11985,6171,0.748435544,0.233541927,0.514893617,40.6736,-120.5943,30818
California,6037,Los Angeles County,1145530,3028885,4263443,-1883355,0.268686599,0.710431686,-0.441745087,34.3207,-118.2248,10081570
California,6039,Madera County,29378,23168,53722,6210,0.546852314,0.431257213,0.115595101,37.218,-119.7627,155433
California,6041,Marin County,24612,128288,155801,-103676,0.157970745,0.823409349,-0.665438604,38.0734,-122.7234,259943
California,6043,Mariposa County,5950,4088,10280,1862,0.578793774,0.39766537,0.181128405,37.5815,-119.9054,17420
California,6045,Mendocino County,13267,28782,43336,-15515,0.306142699,0.664159129,-0.35801643,39.4402,-123.3915,87224
California,6047,Merced County,39397,48991,90541,-9594,0.435128837,0.541091881,-0.105963044,37.1919,-120.7177,271382
California,6049,Modoc County,3109,1150,4338,1959,0.716689719,0.265099124,0.451590595,41.5898,-120.725,8907
California,6051,Mono County,2513,4013,6737,-1500,0.373014695,0.595665727,-0.222651032,37.9391,-118.8868,14310
California,6053,Monterey County,46299,113953,163883,-67654,0.282512524,0.695331425,-0.412818901,36.2172,-121.2392,433410
California,6055,Napa County,20676,49817,72122,-29141,0.286680902,0.69073237,-0.404051468,38.5065,-122.3305,139623
California,6057,Nevada County,26779,36359,64738,-9580,0.413651951,0.561633044,-0.147981093,39.3014,-120.7685,99244
California,6059,Orange County,676498,814009,1521725,-137511,0.444559957,0.534925167,-0.090365211,33.703,-117.7611,3168044
California,6061,Placer County,122488,106869,235017,15619,0.521187829,0.454728807,0.066459022,39.0635,-120.7175,385512
California,6063,Plumas County,6445,4561,11256,1884,0.572583511,0.405206112,0.167377399,40.0046,-120.8385,18660
California,6065,Riverside County,448702,527945,996156,-79243,0.450433466,0.529982252,-0.079548786,33.7437,-115.9938,2411439
California,6067,Sacramento County,259405,440808,718290,-181403,0.361142436,0.613690849,-0.252548414,38.4493,-121.3443,1524553
California,6069,San Benito County,10590,17628,28821,-7038,0.367440408,0.611637348,-0.24419694,36.6057,-121.075,60376
California,6071,San Bernardino County,366257,455859,840931,-89602,0.435537517,0.542088471,-0.106550954,34.8414,-116.1784,2149031
California,6073,San Diego County,600094,964650,1601722,-364556,0.374655527,0.60225807,-0.227602543,33.0341,-116.7353,3316073
California,6075,San Francisco County,56417,378156,443458,-321739,0.127220616,0.852743665,-0.725523048,37.7562,-122.443,874961
California,6077,San Joaquin County,121098,161137,288443,-40039,0.419833381,0.558644169,-0.138810788,37.9348,-121.2714,742603
California,6079,San Luis Obispo County,67436,88310,159681,-20874,0.422316995,0.553040124,-0.130723129,35.3871,-120.4045,282165
California,6081,San Mateo County,75563,291410,374138,-215847,0.201965585,0.778883727,-0.576918143,37.4229,-122.329,767423
California,6083,Santa Barbara County,65736,129963,200288,-64227,0.328207381,0.648880612,-0.320673231,34.6729,-120.0165,444829
California,6085,Santa Clara County,214612,617967,850522,-403355,0.252329746,0.726573798,-0.474244052,37.2318,-121.6951,1927470
California,6087,Santa Cruz County,26937,114246,144796,-87309,0.186034145,0.789013509,-0.602979364,37.0562,-122.0018,273962
California,6089,Shasta County,60789,30000,92900,30789,0.654348762,0.322927879,0.331420883,40.7637,-122.0405,179212
California,6091,Sierra County,1142,730,1930,412,0.591709845,0.378238342,0.213471503,39.5803,-120.516,3040
California,6093,Siskiyou County,13290,9593,23450,3697,0.56673774,0.409083156,0.157654584,41.5927,-122.5404,43468
