"State","Consumers","Bronze","Silver","Gold","Year"
"South Dakota"," 29,069 "," 11,921 "," 16,034 "," 679 ","2019"
"Tennessee"," 221,533 "," 74,969 "," 144,003 "," 1,689 ","2019"
"Texas"," 1,087,240 "," 332,295 "," 670,733 "," 77,646 ","2019"
"Utah"," 194,570 "," 84,120 "," 107,537 "," 2,222 ","2019"
"Virginia"," 328,020 "," 99,809 "," 178,150 "," 46,544 ","2019"
"Vermont"," 25,223 "," 5,452 "," 13,428 "," 4,847 ","2019"
"Washington"," 220,765 "," 82,128 "," 111,208 "," 23,809 ","2019"
"Wisconsin"," 205,118 "," 73,428 "," 101,219 "," 28,263 ","2019"
"West Virginia"," 22,599 "," 7,185 "," 14,523 "," 797 ","2019"
"Wyoming"," 24,852 "," 4,697 "," 6,625 "," 13,530 ","2019"
"Total"," 11,444,141 "," 3,500,785 "," 6,790,376 "," 959,397 ","2019"
"Alaska","17,696","8,761","3,438","5,497","2020"
"Alabama","160,429","20,454","131,194","6,998","2020"
"Arkansas","64,360","15,886","46,554","1,920","2020"
"Arizona","153,020","57,301","90,246","4,664","2020"
"California","1,538,819","462,501","854,505","147,422","2020"
"Colorado","166,852","86,945","66,963","10,186","2020"
"Connecticut","107,833","49,326","49,889","6,779","2020"
"District of Columbia","17,538","5,097","4,507","3,894","2020"
"Delaware","23,961","7,578","7,902","7,662","2020"
"Florida","1,913,975","559,378","1,279,920","61,087","2020"
"Georgia","463,910","97,653","335,180","26,596","2020"
"Hawaii","20,073","5,315","8,121","5,074","2020"
"Iowa","54,586","12,574","19,644","21,993","2020"
"Idaho","78,431","45,861","25,990","6,066","2020"
"Illinois","292,945","119,296","148,747","23,757","2020"
"Indiana","140,931","45,205","90,556","5,170","2020"
"Kansas","85,837","25,303","38,189","21,790","2020"
"Kentucky","83,139","35,686","41,915","4,874","2020"
"Louisiana","87,748","28,510","52,937","6,301","2020"
"Massachusetts","319,612","35,883","269,804","8,863","2020"
"Maryland","158,934","34,549","63,459","55,544","2020"
"Maine","62,031","34,903","24,968","1,478","2020"
"Michigan","262,919","124,624","122,631","12,828","2020"
"Minnesota","110,042","57,959","32,596","16,787","2020"
"Missouri","202,750","56,778","140,993","4,051","2020"
"Mississippi","98,892","8,256","89,906","730","2020"
"Montana","43,822","27,553","13,260","2,770","2020"
"North Carolina","505,275","154,097","295,585","48,501","2020"
"North Dakota","21,666","8,901","8,311","4,088","2020"
"Nebraska","90,845","36,229","28,356","25,657","2020"
"New Hampshire","44,412","18,195","22,815","2,530","2020"
"New Jersey","246,426","61,525","178,914","4,039","2020"
"New Mexico","42,714","14,748","15,623","12,294","2020"
"Nevada","77,410","30,963","42,576","3,096","2020"
"New York","272,948","115,615","100,205","31,044","2020"
"Ohio","196,806","101,339","83,834","9,567","2020"
"Oklahoma","158,642","55,609","76,953","25,500","2020"
"Oregon","145,264","62,350","63,826","18,332","2020"
"Pennsylvania","331,825","90,613","175,650","63,624","2020"
"Rhode Island","34,634","8,225","15,509","10,804","2020"
"South Carolina","214,030","96,888","100,292","14,936","2020"
"South Dakota","29,331","13,322","14,719","914","2020"
"Tennessee","200,445","79,179","118,181","2,465","2020"
"Texas","1,116,293","360,655","685,852","63,658","2020"
"Utah","200,261","97,205","100,585","1,894","2020"
"Virginia","269,474","102,272","117,620","46,506","2020"
"Vermont","27,335","7,087","12,486","5,773","2020"
"Washington","212,188","91,210","94,197","23,447","2020"
"Wisconsin","195,498","82,633","82,521","28,247","2020"
"West Virginia","20,066","6,650","12,428","901","2020"
"Wyoming","24,574","4,683","5,679","14,212","2020"
"Total","11,409,447","3,769,328","6,506,731","942,810","2020"
